2019/06/25 15:02:47 [WinError 10054] 远程主机强迫关闭了一个现有的连接。
2019/06/25 15:02:54 发送消息:{'sub': 'market.btcusdt.kline.1min', 'id': 'BTC'}
2019/06/25 15:02:55 收到订阅状态消息：{'id': 'BTC', 'status': 'ok', 'subbed': 'market.btcusdt.kline.1min', 'ts': 1561446175191}
2019/06/25 15:03:04 发送消息:{'pong': 1561446184536}
2019/06/25 15:03:04 ts:1561446184681 id:1561446180 amount:1.4047591999975437 open:11336.01 close:11337.0 low:11336.0 high:11337.0 count:30 vol:15924.906091
2019/06/25 15:03:05 ts:1561446184869 id:1561446180 amount:1.4080591999975438 open:11336.01 close:11338.96 low:11336.0 high:11338.96 count:33 vol:15962.323912
2019/06/25 15:03:05 ts:1561446184935 id:1561446180 amount:1.4081473915071707 open:11336.01 close:11338.96 low:11336.0 high:11338.96 count:34 vol:15963.323912
2019/06/25 15:03:05 ts:1561446185467 id:1561446180 amount:1.4084473915071707 open:11336.01 close:11336.25 low:11336.0 high:11338.96 count:35 vol:15966.724787
2019/06/25 15:03:05 ts:1561446185490 id:1561446180 amount:1.4085473915071707 open:11336.01 close:11337.6 low:11336.0 high:11338.96 count:36 vol:15967.858547
2019/06/25 15:03:05 ts:1561446185549 id:1561446180 amount:1.4087473915071707 open:11336.01 close:11336.72 low:11336.0 high:11338.96 count:37 vol:15970.125891
2019/06/25 15:03:05 ts:1561446185603 id:1561446180 amount:1.408835582705689 open:11336.01 close:11339.0 low:11336.0 high:11339.0 count:38 vol:15971.125891
2019/06/25 15:03:05 ts:1561446185690 id:1561446180 amount:1.4089237693238288 open:11336.01 close:11339.68 low:11336.0 high:11339.68 count:40 vol:15972.125891
2019/06/25 15:03:06 ts:1561446186152 id:1561446180 amount:1.4122237693238286 open:11336.01 close:11337.0 low:11336.0 high:11339.68 count:41 vol:16009.537991
2019/06/25 15:03:06 ts:1561446186493 id:1561446180 amount:1.4123119760804663 open:11336.01 close:11337.0 low:11336.0 high:11339.68 count:42 vol:16010.537991
2019/06/25 15:03:06 ts:1561446186496 id:1561446180 amount:3.730923769323829 open:11336.01 close:11337.0 low:11336.0 high:11339.68 count:43 vol:42296.639891
2019/06/25 15:03:06 ts:1561446186515 id:1561446180 amount:3.7310237693238286 open:11336.01 close:11336.86 low:11336.0 high:11339.68 count:44 vol:42297.773577
2019/06/25 15:03:06 ts:1561446186647 id:1561446180 amount:3.7396237693238286 open:11336.01 close:11336.73 low:11336.0 high:11339.68 count:46 vol:42395.269461
2019/06/25 15:03:06 ts:1561446186821 id:1561446180 amount:3.758431944598616 open:11336.01 close:11339.68 low:11336.0 high:11339.68 count:50 vol:42608.499461
2019/06/25 15:03:07 ts:1561446186889 id:1561446180 amount:3.758520130508624 open:11336.01 close:11339.68 low:11336.0 high:11339.68 count:51 vol:42609.499461
2019/06/25 15:03:07 ts:1561446186975 id:1561446180 amount:3.758608316418632 open:11336.01 close:11339.68 low:11336.0 high:11339.68 count:52 vol:42610.499461
2019/06/25 15:03:07 ts:1561446186991 id:1561446180 amount:4.466308316418632 open:11336.01 close:11340.0 low:11336.0 high:11340.0 count:56 vol:50635.816030495975
